Language,repo_num,Developer,Commits
Nemerle,12,166,178
mupad,12,207,241
Genshi,11,299,323
LOLCODE,11,152,154
P4,11,279,311
Boo,11,306,354
Uno,11,344,374
Zephir,10,659,741
HyPhy,10,100,106
Nimrod,10,21,21
Factor,10,101,107
Ren'Py,9,81,86
IGOR Pro,9,731,826
Chapel,9,221,234
Nu,9,33,33
Diff,9,56,56
Oz,9,36,39
Gettext Catalog,8,58,59
Papyrus,8,320,373
Pike,8,53,60
MQL4,8,114,124
MQL5,7,102,113
NetLogo,7,169,178
BlitzMax,7,33,35
ECL,7,167,185
Nit,7,250,274
ooc,7,43,44
NCL,7,28,28
Dylan,6,84,88
Parrot,6,54,55
Pep8,6,225,244
Red,5,308,325
Frege,5,10,11
SQL,5,8,8
Delphi,5,7,7
Myghty,5,214,232
Jolie,5,78,83
Filebench WML,4,11,11
Cool,4,30,32
X10,4,10,18
Logtalk,4,178,188
PowerBuilder,4,109,111
Zimpl,4,35,35
EQ,4,19,22
Inform 7,4,26,27
Mirah,3,26,27
Grammatical Framework,3,23,23
WebIDL,3,24,33
XPages,3,11,11
Brightscript,3,143,149
Dogescript,3,129,135
TXL,3,5,5
Monkey,3,19,19
Shen,3,5,5
Opa,3,18,19
KRL,3,21,21
Golo,3,65,65
Fantom,2,17,17
Genie,2,510,559
Grace,2,26,28
ShellSession,2,5,5
REALbasic,2,3,3
Rouge,2,318,353
Bluespec,2,4,4
RUNOFF,2,13,15
Ox,2,38,38
NetLinx,2,48,54
Kit,1,1,1
Tea,1,53,54
ATS,1,1,1
Self,1,1,1
Charity,1,2,2
MTML,1,31,35
JFlex,1,2,2
LoomScript,1,1,1
VCL,1,3,3
Xojo,1,95,99
wisp,1,2,3
TI Program,1,10,10
Opal,1,6,6
LookML,1,160,161
