Language,repo_num,Developer,Commits
FORTRAN,14,39,39
Pony,13,611,700
Zephir,13,920,1009
Boo,13,376,438
Red,13,621,676
Smali,13,517,559
Ren'Py,12,165,173
P4,12,315,334
LOLCODE,12,266,281
MQL4,12,338,368
IGOR Pro,11,1443,1578
Cirru,11,117,129
Chapel,11,334,359
Genshi,10,502,528
Nemerle,10,201,211
Factor,10,112,116
Turing,10,275,288
Uno,10,664,708
HyPhy,10,135,140
PowerBuilder,9,121,122
NetLogo,9,293,308
Nit,9,553,594
MQL5,9,241,271
Papyrus,8,647,724
Oz,8,44,45
ECL,8,217,227
Dylan,7,202,219
Brightscript,7,101,110
Cool,7,68,70
Pep8,7,499,535
Pike,7,85,90
NCL,7,66,68
BlitzMax,6,78,79
Jolie,6,143,152
Inform 7,6,82,83
Zimpl,6,84,86
Myghty,6,394,414
Logtalk,5,138,142
EQ,5,98,101
Gettext Catalog,5,97,97
Kit,5,17,17
REALbasic,5,13,13
Diff,5,101,101
Parrot,5,126,130
Nu,4,29,29
Golo,4,89,90
ooc,4,52,56
KRL,4,128,132
DOT,3,5,7
Filebench WML,3,146,150
X10,3,32,41
Dogescript,3,99,107
Grammatical Framework,3,36,37
Fantom,3,43,48
Opa,3,61,62
XPages,3,10,10
Grace,3,49,50
Nimrod,3,8,8
Monkey,3,35,35
Mirah,3,31,31
LookML,3,169,176
Xojo,2,197,206
Bluespec,2,4,4
NetLinx,2,65,72
Rouge,2,433,474
Frege,2,14,15
Self,2,26,26
Ox,2,33,33
Tea,2,89,91
LoomScript,2,5,5
Genie,2,899,992
WebIDL,2,48,62
MTML,1,39,39
ATS,1,1,1
ShellSession,1,11,11
SQL,1,4,4
RUNOFF,1,27,29
TI Program,1,10,10
Opal,1,4,4
Ioke,1,11,11
Shen,1,2,2
Moocode,1,11,11
JFlex,1,4,4
